x,y
94.8,15.8247
94.9,15.8248
95,15.8249
95.1,15.825
95.2,15.8251
95.3,15.8252
95.4,15.8253
95.5,15.8254
95.6,15.8255
95.7,15.8256
95.8,15.8257
95.9,15.8258
96,15.8259
96.1,15.826
96.2,15.8261
96.3,15.8261
96.4,15.8262
96.5,15.8263
96.6,15.8264
96.7,15.8265
96.8,15.8266
96.9,15.8267
97,15.8268
97.1,15.8269
97.2,15.827
97.3,15.827
97.4,15.8271
97.5,15.8272
97.6,15.8273
97.7,15.8274
97.8,15.8275
97.9,15.8276
98,15.8276
98.1,15.8277
98.2,15.8278
98.3,15.8279
98.4,15.828
98.5,15.8281
98.6,15.8281
98.7,15.8282
98.8,15.8283
98.9,15.8284
99,15.8284
99.1,15.8285
99.2,15.8286
99.3,15.8287
99.4,15.8288
99.5,15.8288
99.6,15.8289
99.7,15.829
99.8,15.8291
99.9,15.8291
100,15.8292
100.1,15.8293
100.2,15.8293
100.3,15.8294
100.4,15.8295
100.5,15.8296
100.6,15.8296
100.7,15.8297
100.8,15.8298
100.9,15.8298
101,15.8299
101.1,15.83
101.2,15.83
101.3,15.8301
101.4,15.8302
101.5,15.8302
101.6,15.8303
101.7,15.8304
101.8,15.8304
101.9,15.8305
102,15.8306
102.1,15.8306
102.2,15.8307
102.3,15.8307
102.4,15.8308
102.5,15.8309
102.6,15.8309
102.7,15.831
102.8,15.831
102.9,15.8311
103,15.8312
103.1,15.8312
103.2,15.8313
103.3,15.8313
103.4,15.8314
103.5,15.8315
103.6,15.8315
103.7,15.8316
103.8,15.8316
103.9,15.8317
104,15.8317
104.1,15.8318
104.2,15.8318
104.3,15.8319
104.4,15.8319
104.5,15.832
104.6,15.8321
104.7,15.8321
104.8,15.8322
104.9,15.8322
105,15.8323
105.1,15.8323
105.2,15.8324
105.3,15.8324
105.4,15.8325
105.5,15.8325
105.6,15.8326
105.7,15.8326
105.8,15.8327
105.9,15.8327
106,15.8328
106.1,15.8328
106.2,15.8329
106.3,15.8329
106.4,15.833
106.5,15.833
106.6,15.833
106.7,15.8331
106.8,15.8331
106.9,15.8332
107,15.8332
107.1,15.8333
107.2,15.8333
107.3,15.8334
107.4,15.8334
107.5,15.8334
107.6,15.8335
107.7,15.8335
107.8,15.8336
107.9,15.8336
108,15.8337
108.1,15.8337
108.2,15.8337
108.3,15.8338
108.4,15.8338
108.5,15.8339
108.6,15.8339
108.7,15.8339
108.8,15.834
108.9,15.834
109,15.8341
109.1,15.8341
109.2,15.8341
109.3,15.8342
109.4,15.8342
109.5,15.8343
109.6,15.8343
109.7,15.8343
109.8,15.8344
109.9,15.8344
110,15.8344
110.1,15.8345
110.2,15.8345
110.3,15.8345
110.4,15.8346
110.5,15.8346
110.6,15.8347
110.7,15.8347
110.8,15.8347
110.9,15.8348
111,15.8348
111.1,15.8348
111.2,15.8349
111.3,15.8349
111.4,15.8349
111.5,15.835
111.6,15.835
111.7,15.835
111.8,15.8351
111.9,15.8351
112,15.8351
112.1,15.8352
112.2,15.8352
112.3,15.8352
112.4,15.8352
112.5,15.8353
112.6,15.8353
112.7,15.8353
112.8,15.8354
112.9,15.8354
113,15.8354
113.1,15.8355
113.2,15.8355
113.3,15.8355
113.4,15.8355
113.5,15.8356
113.6,15.8356
113.7,15.8356
113.8,15.8357
113.9,15.8357
114,15.8357
114.1,15.8357
114.2,15.8358
114.3,15.8358
114.4,15.8358
114.5,15.8359
114.6,15.8359
114.7,15.8359
114.8,15.8359
114.9,15.836
115,15.836
115.1,15.836
115.2,15.836
115.3,15.8361
115.4,15.8361
115.5,15.8361
115.6,15.8361
115.7,15.8362
115.8,15.8362
115.9,15.8362
116,15.8362
116.1,15.8363
116.2,15.8363
116.3,15.8363
116.4,15.8363
116.5,15.8364
116.6,15.8364
116.7,15.8364
116.8,15.8364
116.9,15.8364
117,15.8365
117.1,15.8365
117.2,15.8365
117.3,15.8365
117.4,15.8366
117.5,15.8366
117.6,15.8366
117.7,15.8366
117.8,15.8366
117.9,15.8367
118,15.8367
118.1,15.8367
118.2,15.8367
118.3,15.8368
118.4,15.8368
118.5,15.8368
118.6,15.8368
118.7,15.8368
118.8,15.8369
118.9,15.8369
119,15.8369
119.1,15.8369
119.2,15.8369
119.3,15.837
119.4,15.837
119.5,15.837
119.6,15.837
119.7,15.837
119.8,15.837
119.9,15.8371
120,15.8371
120.1,15.8371
120.2,15.8371
120.3,15.8371
120.4,15.8372
120.5,15.8372
120.6,15.8372
120.7,15.8372
120.8,15.8372
120.9,15.8372
121,15.8373
121.1,15.8373
121.2,15.8373
121.3,15.8373
121.4,15.8373
121.5,15.8373
121.6,15.8374
121.7,15.8374
121.8,15.8374
121.9,15.8374
122,15.8374
122.1,15.8374
122.2,15.8375
122.3,15.8375
122.4,15.8375
122.5,15.8375
122.6,15.8375
122.7,15.8375
122.8,15.8376
122.9,15.8376
123,15.8376
123.1,15.8376
123.2,15.8376
123.3,15.8376
123.4,15.8376
123.5,15.8377
123.6,15.8377
123.7,15.8377
123.8,15.8377
123.9,15.8377
124,15.8377
124.1,15.8377
124.2,15.8378
124.3,15.8378
124.4,15.8378
124.5,15.8378
124.6,15.8378
124.7,15.8378
124.8,15.8378
124.9,15.8378
125,15.8379
125.1,15.8379
125.2,15.8379
125.3,15.8379
125.4,15.8379
125.5,15.8379
125.6,15.8379
125.7,15.838
125.8,15.838
125.9,15.838
126,15.838
126.1,15.838
126.2,15.838
126.3,15.838
126.4,15.838
126.5,15.838
126.6,15.8381
126.7,15.8381
126.8,15.8381
126.9,15.8381
127,15.8381
127.1,15.8381
127.2,15.8381
127.3,15.8381
127.4,15.8382
127.5,15.8382
127.6,15.8382
127.7,15.8382
127.8,15.8382
127.9,15.8382
128,15.8382
128.1,15.8382
128.2,15.8382
128.3,15.8382
128.4,15.8383
128.5,15.8383
128.6,15.8383
128.7,15.8383
128.8,15.8383
128.9,15.8383
129,15.8383
129.1,15.8383
129.2,15.8383
129.3,15.8383
129.4,15.8384
129.5,15.8384
129.6,15.8384
129.7,15.8384
129.8,15.8384
129.9,15.8384
130,15.8384
130.1,15.8384
130.2,15.8384
130.3,15.8384
130.4,15.8385
130.5,15.8385
130.6,15.8385
130.7,15.8385
130.8,15.8385
130.9,15.8385
131,15.8385
131.1,15.8385
131.2,15.8385
131.3,15.8385
131.4,15.8385
131.5,15.8385
131.6,15.8386
131.7,15.8386
131.8,15.8386
131.9,15.8386
132,15.8386
132.1,15.8386
132.2,15.8386
132.3,15.8386
132.4,15.8386
132.5,15.8386
132.6,15.8386
132.7,15.8386
132.8,15.8386
132.9,15.8387
133,15.8387
133.1,15.8387
133.2,15.8387
133.3,15.8387
133.4,15.8387
133.5,15.8387
133.6,15.8387
133.7,15.8387
133.8,15.8387
133.9,15.8387
134,15.8387
134.1,15.8387
134.2,15.8388
134.3,15.8388
134.4,15.8388
134.5,15.8388
134.6,15.8388
134.7,15.8388
