x,y
128.6,38.5618
128.7,38.5766
128.8,38.5915
128.9,38.6063
129,38.6211
129.1,38.6359
129.2,38.6506
129.3,38.6654
129.4,38.6802
129.5,38.695
129.6,38.7098
129.7,38.7245
129.8,38.7393
129.9,38.754
130,38.7688
130.1,38.7835
130.2,38.7982
130.3,38.813
130.4,38.8277
130.5,38.8424
130.6,38.8571
130.7,38.8718
130.8,38.8865
130.9,38.9012
131,38.9159
131.1,38.9306
131.2,38.9453
131.3,38.9599
131.4,38.9746
131.5,38.9893
131.6,39.0039
131.7,39.0186
131.8,39.0332
131.9,39.0479
132,39.0625
132.1,39.0771
132.2,39.0917
132.3,39.1064
132.4,39.121
132.5,39.1356
132.6,39.1502
132.7,39.1648
132.8,39.1794
132.9,39.194
133,39.2085
133.1,39.2231
133.2,39.2377
133.3,39.2522
133.4,39.2668
133.5,39.2814
133.6,39.2959
133.7,39.3104
133.8,39.325
133.9,39.3395
134,39.354
134.1,39.3686
134.2,39.3831
134.3,39.3976
134.4,39.4121
134.5,39.4266
134.6,39.4411
134.7,39.4556
134.8,39.47
134.9,39.4845
135,39.499
135.1,39.5135
135.2,39.5279
135.3,39.5424
135.4,39.5568
135.5,39.5713
135.6,39.5857
135.7,39.6002
135.8,39.6146
135.9,39.629
136,39.6434
136.1,39.6578
136.2,39.6723
136.3,39.6867
136.4,39.7011
136.5,39.7154
136.6,39.7298
136.7,39.7442
136.8,39.7586
136.9,39.773
137,39.7873
137.1,39.8017
137.2,39.8161
137.3,39.8304
137.4,39.8448
137.5,39.8591
137.6,39.8734
137.7,39.8878
137.8,39.9021
137.9,39.9164
138,39.9307
138.1,39.945
138.2,39.9593
138.3,39.9736
138.4,39.9879
138.5,40.0022
138.6,40.0165
138.7,40.0308
138.8,40.0451
138.9,40.0593
139,40.0736
139.1,40.0879
139.2,40.1021
139.3,40.1164
139.4,40.1306
139.5,40.1448
139.6,40.1591
139.7,40.1733
139.8,40.1875
139.9,40.2018
140,40.216
140.1,40.2302
140.2,40.2444
140.3,40.2586
140.4,40.2728
140.5,40.287
140.6,40.3011
140.7,40.3153
140.8,40.3295
140.9,40.3437
141,40.3578
141.1,40.372
141.2,40.3861
141.3,40.4003
141.4,40.4144
141.5,40.4286
141.6,40.4427
141.7,40.4568
141.8,40.471
141.9,40.4851
142,40.4992
142.1,40.5133
142.2,40.5274
142.3,40.5415
142.4,40.5556
142.5,40.5697
142.6,40.5838
142.7,40.5979
142.8,40.6119
142.9,40.626
143,40.6401
143.1,40.6541
143.2,40.6682
143.3,40.6822
143.4,40.6963
143.5,40.7103
143.6,40.7244
143.7,40.7384
143.8,40.7524
143.9,40.7664
144,40.7805
144.1,40.7945
144.2,40.8085
144.3,40.8225
144.4,40.8365
144.5,40.8505
144.6,40.8645
144.7,40.8784
144.8,40.8924
144.9,40.9064
145,40.9204
145.1,40.9343
145.2,40.9483
145.3,40.9622
